vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Goods vehicle (truck),870423,87042390,87042391,7,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 20 tonnes), n.e.c. in item no 8704.1",MARKS8349,Germany,South Africa,South Africa,8,2025,11,2025-11,2025-11-09,20251105,20251105,export,1,149769190.71,38376.49,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,SCOTTS TRAILERS CC,[in full dataset],ESTCOURT,,,,Y,TRATON SE,[in full dataset],,11822.5,11822.5,Wilhelmshaven,Durban,ESTCOURT,1,1,14.78,MAERSK MOLLER,IMO7444895,SG,V599,753,MSCU,HBL,MAEU138410653,COSU539829122,FCIU1933995,20GP,FLAT RACK,HC,LCL,CY/CY,Sinotrans,33393.09
Motorcycle,871140,,871140000,6,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc, with or without sidecars; side-cars",MARKS6832,Japan,South Africa,South Africa,7,2024,3,2024-03,2024-03-06,20240301,20240301,export,1,119701068.14,76048.68,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],N,BLACKSELVIN VEHICLE COSMETIC ENHANCEMENT TECHNICIAN (PTY) LTD,[in full dataset],CHATSWORTH,,,,Y,SUBARU CORPORATION,[in full dataset],,4654.6,4654.6,Osaka,Port Elizabeth,CHATSWORTH,1,1,5.82,ONE APUS,IMO5008061,PA,V354,728,OOLU,MBL,MAEU983057372,MAEU263867014,FCIU2986945,20GP,DRY,GP,FCL,CY/CFS,Yusen Logistics,71061.15
Bus / coach,870230,87023090,87023010,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS8328,Italy,South Africa,South Africa,9,2025,11,2025-11,2025-11-05,20251104,20251104,export,1,12922078.26,177100.99,kg,KG,ITALSCANIA SPA,,[in full dataset],TRENTO,,www.scania.com,[in full dataset],Y,M A K BODIES (PTY) LTD,[in full dataset],PHOENIX,,,,Y,ITALSCANIA SPA,[in full dataset],,6452.8,6452.8,Genoa,Ngqura,PHOENIX,1,1,8.07,OOCL HONG KONG,IMO8939916,PA,V667,110,ONEY,SWB,COSU488817550,HLCU170393803,GESU4878839,45HC,DRY,GP,FCL,CY/CY,DHL Global Forwarding,154375.54
Passenger car,870333,87033327,87033390,7,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",MARKS6824,Czech Republic,South Africa,South Africa,7,2025,9,2025-09,2025-09-20,20250901,20250901,export,1,15616269,21069.89,kg,KG,VFS Financial Services Czech Republic s.r.o.,,[in full dataset],Čestlice,,www.volvofinancialservices.com,[in full dataset],Y,FOUR CYCLES CONSTRUCTION (PTY) LTD,[in full dataset],RICHARDS BAY,,,,Y,VFS Financial Services Czech Republic s.r.o.,[in full dataset],,930.6,930.6,Main Container Port,Port Elizabeth,RICHARDS BAY,1,1,1.16,EVER GIVEN,IMO5633733,MH,V939,679,YMLU,MBL,COSU140333496,CMDU829017201,TCLU9262461,40HC,FLAT RACK,HC,FCL,CFS/CFS,Expeditors,19310.54
Goods vehicle (truck),870443,87044320,8704430000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS6905,China,South Africa,South Africa,8,2025,5,2025-05,2025-05-23,20250525,20250525,import,1,163060951.68,9547.45,kg,KG,"Chery Automobile Co., Ltd.",,[in full dataset],Wuhu,,www.chery.cn,[in full dataset],Y,SIZAME TRAILERS CC,[in full dataset],DURBAN,,,,Y,"Chery Automobile Co., Ltd.",[in full dataset],,14251.7,14251.7,Dalian,Port Elizabeth,DURBAN,1,1,17.81,EVER ACME,IMO1428771,MH,V469,944,HMMU,HBL,EGLV951965989,HLCU638645857,BMOU7993861,40HC,TANK,GP,LCL,CFS/CFS,Expeditors,8660.33
Passenger car,870332,87033225,8703322210,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS8010,China,South Africa,South Africa,6,2025,6,2025-06,2025-06-12,20250602,20250602,import,1,167729224.14,16402.89,kg,KG,"Hunan Baotu Car Sales Service Co., Ltd.",,[in full dataset],Xiangtan,,,,N,VOESTALPINE AUTOMOTIVE COMPONENTS EAST LONDON (PTY) LTD,[in full dataset],EAST LONDON,,www.voestalpine.com,[in full dataset],Y,"Hunan Baotu Car Sales Service Co., Ltd.",[in full dataset],,21756.8,21756.8,Shanghai,Port Elizabeth,EAST LONDON,1,1,27.2,MSC GULSUN,IMO7688399,SG,V767,547,ONEY,SWB,COSU257887890,ONEY558232560,TGHU5393134,40HC,FLAT RACK,GP,LCL,CY/CY,Expeditors,14358.06
Goods vehicle (truck),870443,87044310,87044310,7,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS2936,Ireland,South Africa,South Africa,8,2025,11,2025-11,2025-11-21,20251102,20251102,import,1,20768.64,21943.31,kg,KG,NORTHGATE VEHICLE HIRE (IRELAND) LIMITED,,[in full dataset],DUBLIN 15,,www.vanmonster.com,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,Y,NORTHGATE VEHICLE HIRE (IRELAND) LIMITED,[in full dataset],,18805.2,18805.2,Dublin,Durban,CENTURION,1,1,23.51,EVER ACME,IMO3570757,PA,V182,131,HLCU,HBL,COSU485870226,YMLU747606187,BMOU4810959,20GP,DRY,HC,LCL,CY/CFS,Nippon Express,20768.64
Bus / coach,870220,87022081,87022090,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS8589,Czech Republic,South Africa,South Africa,8,2024,5,2024-05,2024-05-27,20240508,20240508,export,1,11088115,76166.07,kg,KG,Jet 2 podfond SICAV,,[in full dataset],Brno,,,,Y,POWER TRAILERS CC,[in full dataset],KUILS RIVER,,,,N,Jet 2 podfond SICAV,[in full dataset],,7317,7317,Main Container Port,Durban,KUILS RIVER,1,1,9.15,ONE APUS,IMO8990179,LR,V541,687,ZIMU,HBL,CMDU892936169,EGLV514674937,TCLU2717382,40GP,OPEN TOP,HC,FCL,CFS/CFS,CEVA Logistics,67425.69
Motorcycle,871150,,871150000,9,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with internal combustion piston engine of a cylinder capacity exceeding 800cc, with or without side-cars; side-cars",MARKS1977,Japan,South Africa,South Africa,8,2024,1,2024-01,2024-01-15,20240122,20240122,export,1,78516980.95,2157.07,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,J C DE BRUYN RECOVERIES CC,[in full dataset],VEREENIGING,,,,Y,SUBARU CORPORATION,[in full dataset],,20767.4,20767.4,Yokohama,Ngqura,VEREENIGING,1,1,25.96,MAERSK MOLLER,IMO6598078,PA,V963,567,APLU,HBL,ONEY733239095,EGLV280142931,MSCU7509326,40HC,DRY,RF,FCL,CY/CFS,DSV,1920.22
Goods vehicle (truck),870431,87043150,8704310000,5,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS5183,China,South Africa,South Africa,6,2024,7,2024-07,2024-07-02,20240726,20240726,import,1,120673042.14,61811.2,kg,KG,"Guangzhou Automobile Group Co., Ltd.",,[in full dataset],Guangzhou,,www.gac.com.cn,[in full dataset],Y,CUISINE TRAILERS (PTY) LTD,[in full dataset],GAUTENG,,,,Y,"Guangzhou Automobile Group Co., Ltd.",[in full dataset],,1941.3,1941.3,Dalian,Ngqura,GAUTENG,1,1,2.43,COSCO UNIVERSE,IMO6145849,LR,V896,660,YMLU,SWB,CMDU139978805,EGLV714290166,GESU7154889,40GP,TANK,GP,FCL,CY/CY,DB Schenker,55849.04
Goods vehicle (truck),870432,87043290,8704324000,6,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS6907,China,South Africa,South Africa,6,2025,12,2025-12,2025-12-19,20251208,20251208,import,1,201748515.54,24844.93,kg,KG,"Xiamen King Long United Automotive Industry Co., Ltd.",,[in full dataset],Xiamen,,www.king-long.com.cn,[in full dataset],N,CHINA MOTOR FRANCHISE PARTS DISTRIBUTORS CC,[in full dataset],KYA SANDS,,,,Y,"Xiamen King Long United Automotive Industry Co., Ltd.",[in full dataset],,22830.8,22830.8,Yingkou,Cape Town,KYA SANDS,1,1,28.54,EVER GIVEN,IMO9311683,SG,V652,730,YMLU,HBL,COSU608232181,CMDU133149758,TCLU7604566,20GP,OPEN TOP,HC,FCL,CY/CFS,DHL Global Forwarding,23605.12
Motorcycle,871120,87112090,87112092,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS4676,Germany,South Africa,South Africa,7,2024,3,2024-03,2024-03-03,20240319,20240319,export,1,230426399.43,9623.84,kg,KG,Zeitfracht Medien GmbH,,[in full dataset],Erfurt,,www.kolibri360.de,[in full dataset],Y,BAM TRAILER SOLUTIONS (PTY) LTD,[in full dataset],BENONI,,,,Y,Zeitfracht Medien GmbH,[in full dataset],,22099.6,22099.6,Bremerhaven,Cape Town,BENONI,1,1,27.62,ONE APUS,IMO5247249,LR,V661,873,OOLU,SWB,MAEU458397736,COSU763359875,CAIU6958982,45HC,FLAT RACK,HC,FCL,CY/CFS,Bollore Logistics,8784.79
Goods vehicle (truck),870421,87042181,8704210000,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS3574,China,South Africa,South Africa,6,2025,5,2025-05,2025-05-03,20250526,20250526,import,1,163060951.68,143721.24,kg,KG,"Sinotruk Jinan Truck Co., Ltd.",,[in full dataset],Jinan,,www.sinotruk.com,[in full dataset],Y,ULTIMATE MINING VEHICLES (PTY) LTD,[in full dataset],PRETORIA,,,,Y,"Sinotruk Jinan Truck Co., Ltd.",[in full dataset],,21707.7,21707.7,Ningbo-Zhoushan,Durban,PRETORIA,1,1,27.13,CSCL GLOBE,IMO3530867,PA,V728,916,OOLU,HBL,YMLU730035843,EGLV812895948,TCLU9007125,40GP,DRY,RF,LCL,CY/CY,DHL Global Forwarding,127712.37
Goods vehicle (truck),870431,87043190,8704310000,6,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS4017,China,South Africa,South Africa,9,2024,11,2024-11,2024-11-18,20241113,20241113,import,1,134598759.89,17390.01,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],Y,MEAT AND VEG CORNER TRADING CC,[in full dataset],PRETORIA,,,,Y,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,24985.8,24985.8,Guangzhou,Port Elizabeth,PRETORIA,1,1,31.23,MSC GULSUN,IMO9866060,MH,V246,401,MSCU,MBL,MAEU108606100,CMDU428170433,MSCU6472671,45HC,TANK,GP,LCL,CY/CY,Kuehne + Nagel,15305.07
Goods vehicle (truck),870432,87043290,87043291,8,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS5253,Germany,South Africa,South Africa,7,2024,6,2024-06,2024-06-16,20240626,20240626,export,1,167835062.46,66434.01,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,ENGELBRECHT TRAILERS MARKETING CC,[in full dataset],CARLETONVILLE,,,,N,TRATON SE,[in full dataset],,20134.1,20134.1,Bremerhaven,Port Elizabeth,CARLETONVILLE,1,1,25.17,ONE APUS,IMO2900125,LR,V930,705,ONEY,HBL,MSCU154596348,MSCU835559526,GESU1208318,40GP,DRY,RF,LCL,CFS/CFS,Nippon Express,57957.94
Motorcycle,871190,87119010,8711900019,8,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS5399,China,South Africa,South Africa,7,2025,10,2025-10,2025-10-25,20251002,20251002,import,1,273048544.29,23327.78,kg,KG,"Winter Olympics Automotive Supply Chain Management (tianjin) Co., Ltd",,[in full dataset],Tianjin,,,,Y,MOTUS VEHICLES DISTRIBUTOR (PTY) LTD,[in full dataset],JOHANNESBURG,,www.renaultretail.co.za,[in full dataset],N,"Winter Olympics Automotive Supply Chain Management (tianjin) Co., Ltd",[in full dataset],,21941.9,21941.9,Qingdao,Port Elizabeth,JOHANNESBURG,1,1,27.43,COSCO UNIVERSE,IMO1899127,MH,V253,980,HMMU,SWB,MSCU602291597,YMLU363229178,FCIU9108006,40HC,FLAT RACK,GP,FCL,CY/CFS,Nippon Express,20684.31
Passenger car,870350,87035025,870350000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS9474,Japan,South Africa,South Africa,5,2025,9,2025-09,2025-09-11,20250916,20250916,import,1,38836304.1,2867.33,kg,KG,DAIWA HOUSE REIT INVESTMENT CORPORATION,,[in full dataset],CHIYODA-KU,,www.daiwahouse-reit.co.jp/,[in full dataset],Y,A W E TRAILERS CC,[in full dataset],JOHANNESBURG,,,,N,DAIWA HOUSE REIT INVESTMENT CORPORATION,[in full dataset],,17276.1,17276.1,Osaka,Ngqura,JOHANNESBURG,1,1,21.6,CSCL GLOBE,IMO3271012,PA,V567,85,ONEY,HBL,MSCU840736739,ONEY717961329,BMOU3871389,20GP,DRY,GP,FCL,CY/CFS,DB Schenker,2677.65
Motorcycle,871120,87112090,87112010,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS2746,Germany,South Africa,South Africa,8,2024,4,2024-04,2024-04-06,20240417,20240417,export,1,233343120.36,1299.77,kg,KG,AL-KO Vehicle Technology Group GmbH,,[in full dataset],Kötz,,www.alko-tech.com,[in full dataset],Y,HAPPY CHAPPY CC,[in full dataset],KRUGERSDORP,,www.lftrailers.co.za,[in full dataset],Y,AL-KO Vehicle Technology Group GmbH,[in full dataset],,12745.7,12745.7,Wilhelmshaven,Durban,KRUGERSDORP,1,1,15.93,MOL TRIUMPH,IMO1333645,SG,V303,265,OOLU,SWB,HLCU803852274,COSU908658081,TCLU7966206,20GP,REEFER,HC,FCL,CY/CFS,DHL Global Forwarding,1155.56
Bus / coach,870220,87022081,87022090,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS1911,Germany,South Africa,South Africa,6,2025,2,2025-02,2025-02-14,20250228,20250228,import,1,70240654.15,8299.93,kg,KG,BVK Zusatzversorgung,,[in full dataset],München,,,,Y,BEZ BODIES AND TRAILERS (PTY) LTD,[in full dataset],KEMPTON PARK,,,,Y,BVK Zusatzversorgung,[in full dataset],,1587.4,1587.4,Bremerhaven,Durban,KEMPTON PARK,1,1,1.98,YM WARRANTY,IMO1329539,LR,V801,141,EGLV,HBL,COSU865782241,YMLU324070034,BMOU3345314,45HC,OPEN TOP,RF,FCL,CY/CFS,Sinotrans,7795.1
Bus / coach,870230,87023087,87023090,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS1359,Germany,South Africa,South Africa,5,2025,7,2025-07,2025-07-23,20250708,20250708,export,1,273834861,5874.82,kg,KG,Brose Familien SE & Co. KG,,[in full dataset],Coburg,,,,N,PRO T CYCLES CC,[in full dataset],KLERKSDORP,,www.protcycles.co.za,[in full dataset],Y,Brose Familien SE & Co. KG,[in full dataset],,6461.8,6461.8,Hamburg,Durban,KLERKSDORP,1,1,8.08,YM WARRANTY,IMO7957247,LR,V586,808,APLU,HBL,YMLU144261064,COSU790681623,BMOU6060036,20GP,REEFER,RF,FCL,CY/CFS,Sinotrans,5190.56
Passenger car,870332,87033225,87033219,8,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS8797,Germany,South Africa,South Africa,8,2025,4,2025-04,2025-04-25,20250411,20250411,export,1,216763728.06,67493.83,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],N,ETC AGRO TRACTORS AND IMPLEMENTS SA (PTY) LTD,[in full dataset],JOHANNESBURG,,,,Y,TRATON SE,[in full dataset],,15891.4,15891.4,Wilhelmshaven,Cape Town,JOHANNESBURG,1,1,19.86,MAERSK MOLLER,IMO6742589,SG,V399,381,ONEY,MBL,MSCU160908913,COSU766534560,TCLU4281268,20GP,TANK,GP,LCL,CFS/CFS,DB Schenker,61998.36
Bus / coach,870210,87021087,87021091,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS4969,Germany,South Africa,South Africa,7,2024,12,2024-12,2024-12-19,20241209,20241209,export,1,172077706.87,43715.27,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,KEI BODIES (PTY) LTD,[in full dataset],QUEENSTOWN,,,,Y,TRATON SE,[in full dataset],,4912.5,4912.5,Bremerhaven,Port Elizabeth,QUEENSTOWN,1,1,6.14,MADRID MAERSK,IMO8743574,LR,V903,263,EGLV,HBL,YMLU216372576,COSU784660785,TGHU7322693,20GP,OPEN TOP,GP,FCL,CY/CFS,DSV,38721.08
Motorcycle,871160,,87116090,9,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS4282,Sweden,South Africa,South Africa,9,2024,2,2024-02,2024-02-01,20240218,20240218,import,1,14012677.35,61417.8,kg,KG,Investor AB,,[in full dataset],Stockholm,,www.investorab.com,[in full dataset],Y,ULTIMATE MINING VEHICLES (PTY) LTD,[in full dataset],PRETORIA,,,,N,Investor AB,[in full dataset],,13184.5,13184.5,Gothenburg,Port Elizabeth,PRETORIA,1,1,16.48,BARZAN,IMO6385241,MH,V473,322,YMLU,HBL,YMLU196992596,HLCU638435851,BMOU7469577,45HC,FLAT RACK,RF,FCL,CFS/CFS,Bollore Logistics,55897.32
Bus / coach,870220,87022087,,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS5086,India,South Africa,South Africa,5,2025,12,2025-12,2025-12-25,20251203,20251203,import,1,189296352.27,72491.35,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,22622,22622,"Mundra, Gujarat",Port Elizabeth,BLOEMFONTEIN,1,1,28.28,MAERSK MOLLER,IMO1371989,LR,V932,130,OOLU,SWB,CMDU821709864,EGLV927901465,MSCU2022727,40HC,OPEN TOP,HC,LCL,CFS/CFS,CEVA Logistics,66847.97
Passenger car,870350,87035025,870350000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS2295,Japan,South Africa,South Africa,9,2024,8,2024-08,2024-08-11,20240817,20240817,export,1,77483681.08,18672.89,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,SUPA BUILD TRAILERS (PTY) LTD,[in full dataset],THEMBISA,,,,Y,SUBARU CORPORATION,[in full dataset],,4252,4252,Yokohama,Ngqura,THEMBISA,1,1,5.32,EVER GIVEN,IMO2454535,MH,V251,711,CMDU,HBL,CMDU697078737,ONEY257818798,GESU3076513,20GP,DRY,RF,FCL,CFS/CFS,DHL Global Forwarding,17642.02
Motorcycle,871110,,87111090,7,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS6144,India,South Africa,South Africa,7,2024,12,2024-12,2024-12-03,20241207,20241207,import,1,172022778.14,20183.01,kg,KG,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,,[in full dataset],Mumbai,,www.mahindrafinance.com,[in full dataset],N,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,[in full dataset],,21278.6,21278.6,Chennai,Port Elizabeth,BLOEMFONTEIN,1,1,26.6,MADRID MAERSK,IMO9260401,PA,V775,880,MSCU,MBL,CMDU319647382,EGLV370644399,GESU2073513,20GP,TANK,RF,LCL,CY/CY,Kuehne + Nagel,17715.93
Goods vehicle (truck),870490,87049090,87049000,6,"Vehicles; for transport of goods, n.e.c. in heading no. 8704",MARKS2001,Austria,South Africa,South Africa,6,2025,6,2025-06,2025-06-27,20250628,20250628,import,1,12044686.22,18968.83,kg,KG,APK Pensionskasse AG,,[in full dataset],Wien,,www.apk.at,[in full dataset],Y,S AND S TRAILER HIRE AND REMOVALS CC,[in full dataset],ROBERTSON,,,,Y,APK Pensionskasse AG,[in full dataset],,9453.5,9453.5,Main Container Port,Durban,ROBERTSON,1,1,11.82,MOL TRIUMPH,IMO2722188,SG,V688,762,OOLU,MBL,MSCU702596315,MSCU341617943,TGHU8665349,40GP,DRY,RF,LCL,CY/CY,Kuehne + Nagel,17158.65
Goods vehicle (truck),870451,87045150,87045121,8,"Vehicles; with both spark-ignition internal combustion piston engine and electric motors for propulsion, of a g.v.w. not exceeding 5,000kg",MARKS3804,Thailand,South Africa,South Africa,7,2024,4,2024-04,2024-04-05,20240425,20240425,export,1,72766229.94,27709.01,kg,KG,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,,[in full dataset],PHRA KHANONG,,www.bangchak.co.th,[in full dataset],Y,2010 TRAILERS CC,[in full dataset],LENASIA,,,,Y,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,[in full dataset],,16646.7,16646.7,Laem Chabang,Durban,LENASIA,1,1,20.81,MAERSK MOLLER,IMO9736668,PA,V340,605,ONEY,HBL,EGLV665283016,CMDU799972533,TGHU8099945,40HC,OPEN TOP,GP,FCL,CY/CFS,Kuehne + Nagel,25039.37
Motorcycle,871160,,8711600000,7,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS4570,China,South Africa,South Africa,5,2024,4,2024-04,2024-04-07,20240422,20240422,import,1,111392670.52,160238.94,kg,KG,"BAIC Foton Motor Co.,Ltd.",,[in full dataset],Beijing,,www.foton.com.cn,[in full dataset],Y,WG ONE STOP (PTY) LTD,[in full dataset],KEMPTON PARK,,,,Y,"BAIC Foton Motor Co.,Ltd.",[in full dataset],,20253.1,20253.1,Yingkou,Durban,KEMPTON PARK,1,1,25.32,HMM ALGECIRAS,IMO2808653,MH,V837,761,ZIMU,MBL,ONEY782782267,CMDU674688312,GESU7591307,45HC,FLAT RACK,RF,FCL,CY/CY,Expeditors,140387.71
Motorcycle,871140,,8711400000,5,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc, with or without sidecars; side-cars",MARKS4352,China,South Africa,South Africa,6,2025,1,2025-01,2025-01-07,20250101,20250101,import,1,153370049.76,2596.41,kg,KG,"Yutong Commercial Vehicle Co., Ltd.",,[in full dataset],Zhengzhou,,www.yutongsyc.com,[in full dataset],N,J -CAN TRAILERS AND PROJECTS (PTY) LTD,[in full dataset],PROTEA GLEN,,,,Y,"Yutong Commercial Vehicle Co., Ltd.",[in full dataset],,19356.6,19356.6,Guangzhou,Cape Town,PROTEA GLEN,1,1,24.2,MSC GULSUN,IMO6278602,SG,V476,480,EGLV,HBL,COSU585275324,MSCU826355811,BMOU3142106,20GP,TANK,GP,FCL,CY/CY,DSV,2380.95
Bus / coach,870210,87021090,87021010,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS6360,Thailand,South Africa,South Africa,9,2025,2,2025-02,2025-02-01,20250205,20250205,export,1,79524262.39,25417.03,kg,KG,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,,[in full dataset],PHRA KHANONG,,www.bangchak.co.th,[in full dataset],Y,ZA TRUCKS AND TRAILERS SALES (PTY) LTD,[in full dataset],KRUGERSDORP,,www.zatrucksandtrailers.com,[in full dataset],Y,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,[in full dataset],,13661.5,13661.5,Laem Chabang,Ngqura,KRUGERSDORP,1,1,17.08,EVER ACME,IMO4878315,SG,V746,409,MAEU,HBL,EGLV777511715,CMDU539512292,CAIU9766508,45HC,REEFER,HC,FCL,CFS/CFS,Bollore Logistics,23409.39
Bus / coach,870240,87024087,8702400000,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS5806,United Kingdom,South Africa,South Africa,5,2025,9,2025-09,2025-09-23,20250924,20250924,import,1,18429637.14,12907.41,kg,KG,AUTOMOBILE ASSOCIATION DEVELOPMENTS LIMITED,,[in full dataset],BASINGSTOKE,,www.theaa.com,[in full dataset],Y,KR TRAVEL AND TOURS (PTY) LTD,[in full dataset],TZANEEN,,www.kdrtravel.co.za,[in full dataset],Y,AUTOMOBILE ASSOCIATION DEVELOPMENTS LIMITED,[in full dataset],,2083.9,2083.9,London Gateway,Cape Town,TZANEEN,1,1,2.6,EVER GIVEN,IMO9371845,SG,V319,853,CMDU,HBL,YMLU466182845,CMDU181448278,TGHU3459284,20GP,TANK,RF,FCL,CY/CFS,Kuehne + Nagel,11377.91
