product,india_itc_hs8,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_duns,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Ginger (whole),09101130,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS9945,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-23,20250816,20250816,import,1,3726323.53,1618.29,kg,KG,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],[in full dataset],Aurangabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],,22715.7,22715.7,Tuticorin,Rotterdam,Utrecht,1,1,28.39,HMM ALGECIRAS,IMO8286698,MH,V657,2,YMLU,MBL,ONEY830626095,MSCU985643593,GESU1558538,45HC,FLAT RACK,RF,LCL,CY/CY,Bollore Logistics,1476.49
Ginger (whole),09101110,09101100,091011,8,"Spices; ginger, neither crushed nor ground",MARKS7469,India,Netherlands,Netherlands,5,2024,6,2024-06,2024-06-05,20240621,20240621,import,1,5426151.02,44634.33,kg,KG,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],,24074,24074,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,30.09,CMA CGM JULES VERNE,IMO3317659,MH,V139,327,EGLV,MBL,COSU588090840,EGLV117463982,CAIU5187087,40HC,REEFER,GP,LCL,CY/CFS,DSV,41371.09
Coriander seeds,09092190,09092100,090921,5,"Spices; coriander seeds, neither crushed nor ground",MARKS4536,India,Netherlands,Netherlands,7,2025,7,2025-07,2025-07-08,20250709,20250709,import,1,4053624.08,22567.12,kg,KG,BARISTS COFFEE COMPANY LIMITED,[in full dataset],[in full dataset],New Delhi,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,BARISTS COFFEE COMPANY LIMITED,[in full dataset],,20698.3,20698.3,Kolkata,Rotterdam,Utrecht,1,1,25.87,HMM ALGECIRAS,IMO4023251,LR,V711,250,MAEU,SWB,EGLV799651626,CMDU368839442,BMOU4842287,40GP,OPEN TOP,RF,FCL,CFS/CFS,DB Schenker,20467.17
Cumin seeds,09093121,09093100,090931,6,"Spices; cumin seeds, neither crushed nor ground",MARKS6593,India,Netherlands,Netherlands,5,2024,12,2024-12,2024-12-18,20241222,20241222,import,1,4973909.49,33505.98,kg,KG,ANNADA SPICES INDUSTRY,[in full dataset],[in full dataset],West Tripura,,www.longtharai.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ANNADA SPICES INDUSTRY,[in full dataset],,16746.6,16746.6,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Utrecht,1,1,20.93,OOCL HONG KONG,IMO9160878,PA,V511,762,MAEU,SWB,MSCU426979212,YMLU239396943,CAIU4100502,40HC,DRY,HC,FCL,CFS/CFS,Yusen Logistics,31811.54
Coriander seeds,09092190,09092100,090921,6,"Spices; coriander seeds, neither crushed nor ground",MARKS3033,India,Netherlands,Netherlands,9,2024,7,2024-07,2024-07-26,20240714,20240714,import,1,9582182.28,9940.26,kg,KG,ALLANA COFFEE CURING WORKS,[in full dataset],[in full dataset],Hassan,,www.allana.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ALLANA COFFEE CURING WORKS,[in full dataset],,18778.7,18778.7,Kolkata,Rotterdam,Utrecht,1,1,23.47,MADRID MAERSK,IMO1334442,PA,V374,396,ZIMU,SWB,HLCU959174704,ONEY215251897,TCLU1765850,40GP,DRY,HC,FCL,CFS/CFS,Bollore Logistics,9442.31
Coriander seeds,09092190,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS8290,India,Netherlands,Netherlands,5,2025,11,2025-11,2025-11-21,20251109,20251109,import,1,5046017,1033.85,kg,KG,Y V S SPICES CO,[in full dataset],[in full dataset],Chennai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Y V S SPICES CO,[in full dataset],,3759.2,3759.2,Cochin,Rotterdam,Utrecht,1,1,4.7,MSC OSCAR,IMO5491729,PA,V236,596,HLCU,SWB,MAEU117254786,YMLU246543835,GESU9504436,20GP,FLAT RACK,HC,FCL,CY/CFS,Bollore Logistics,917.71
Coriander seeds,09092190,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS8785,India,Netherlands,Netherlands,7,2025,4,2025-04,2025-04-21,20250420,20250420,import,1,5330617.29,361.53,kg,KG,ETERNAL VANILLA,[in full dataset],[in full dataset],Shivamogga,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ETERNAL VANILLA,[in full dataset],,7282,7282,Visakhapatnam,Amsterdam,Utrecht,1,1,9.1,APL MEXICO CITY,IMO6811824,LR,V644,43,ZIMU,SWB,COSU636179983,HLCU221999478,FCIU5406708,45HC,FLAT RACK,RF,FCL,CY/CFS,CEVA Logistics,339.18
"Chilli/Capsicum, crushed/ground",09042211,09042200,090422,8,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS1239,India,Netherlands,Netherlands,6,2025,12,2025-12,2025-12-15,20251213,20251213,import,1,5159218.93,35702.85,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,Pelican Rouge Coffee Roasters B.V.,[in full dataset],Dordrecht,,www.pelicanrougecoffeeroasters.com,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,3563.7,3563.7,Tuticorin,Amsterdam,Dordrecht,1,1,4.45,YM WARRANTY,IMO3510694,SG,V399,176,ONEY,HBL,CMDU175523589,YMLU212423725,MSCU6052740,20GP,TANK,HC,FCL,CY/CFS,Nippon Express,31944.69
Turmeric,09103010,09103000,091030,7,Spices; turmeric (curcuma),MARKS5181,India,Netherlands,Netherlands,8,2025,12,2025-12,2025-12-27,20251222,20251222,import,1,5159218.93,4248.53,kg,KG,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],,13823.1,13823.1,Chennai,Rotterdam,Utrecht,1,1,17.28,MSC OSCAR,IMO8363820,PA,V294,691,OOLU,HBL,MAEU996486143,MAEU653746581,GESU3177096,40HC,OPEN TOP,GP,FCL,CFS/CFS,DB Schenker,3799.28
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS8574,India,Netherlands,Netherlands,5,2024,5,2024-05,2024-05-16,20240501,20240501,import,1,8128089.63,5491.54,kg,KG,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],[in full dataset],Chennai,,www.aachigroup.com,[in full dataset],Y,Euro Koffie B.V.,[in full dataset],Enschede,,www.eurokoffie.com,[in full dataset],Y,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],,16823,16823,Kolkata,Amsterdam,Enschede,1,1,21.03,CMA CGM JULES VERNE,IMO7895352,LR,V261,829,MAEU,MBL,MSCU424146106,COSU126230712,TCLU6943546,40HC,REEFER,GP,FCL,CFS/CFS,Sinotrans,4833.05
"Coriander, crushed/ground",09092200,09092200,090922,8,"Spices; coriander seeds, crushed or ground",MARKS1280,India,Netherlands,Netherlands,8,2024,7,2024-07,2024-07-23,20240708,20240708,import,1,9582182.28,19807.09,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,21323.5,21323.5,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,26.65,COSCO UNIVERSE,IMO9865433,MH,V436,497,CMDU,HBL,CMDU789332298,COSU238857296,MSCU8187632,40HC,DRY,HC,LCL,CY/CY,CEVA Logistics,18115.28
Black pepper (whole),09041120,09041100,090411,5,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS5816,India,Netherlands,Netherlands,5,2025,10,2025-10,2025-10-23,20251008,20251008,import,1,3212795.96,3840.59,kg,KG,TRIPURA SPICES COMPANY,[in full dataset],[in full dataset],Agartala,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,TRIPURA SPICES COMPANY,[in full dataset],,22797.2,22797.2,Kolkata,Rotterdam,Utrecht,1,1,28.5,HMM ALGECIRAS,IMO8904801,SG,V428,5,OOLU,SWB,MSCU742019470,EGLV248144173,MSCU9108282,20GP,DRY,RF,FCL,CFS/CFS,Expeditors,3355.3
Ginger (whole),09101110,09101100,091011,7,"Spices; ginger, neither crushed nor ground",MARKS6900,India,Netherlands,Netherlands,6,2025,10,2025-10,2025-10-09,20251007,20251007,import,1,3212795.96,7689.6,kg,KG,MAHA GAURI SPICES AND SNACKS LLP,[in full dataset],[in full dataset],Gurugram,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MAHA GAURI SPICES AND SNACKS LLP,[in full dataset],,19450.9,19450.9,Visakhapatnam,Amsterdam,Utrecht,1,1,24.31,APL MEXICO CITY,IMO1094930,PA,V949,623,OOLU,HBL,MSCU467253958,MAEU882064944,FCIU8956055,40HC,OPEN TOP,GP,FCL,CY/CY,Expeditors,6839.13
"Chilli/Capsicum, crushed/ground",09042219,09042200,090422,6,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS9363,India,Netherlands,Netherlands,8,2024,2,2024-02,2024-02-22,20240208,20240208,import,1,3777184.92,3982.24,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,22399.7,22399.7,Cochin,Rotterdam,Utrecht,1,1,28,ONE APUS,IMO8658980,LR,V870,380,OOLU,SWB,ONEY276080219,ONEY973498782,BMOU7064466,45HC,FLAT RACK,RF,FCL,CY/CFS,Sinotrans,3725.75
Coriander seeds,09092190,09092100,090921,5,"Spices; coriander seeds, neither crushed nor ground",MARKS7981,India,Netherlands,Netherlands,9,2024,12,2024-12,2024-12-08,20241224,20241224,import,1,4973909.49,5353.79,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,PARAS SPICES PRIVATE LIMITED,[in full dataset],,4056.6,4056.6,Kolkata,Amsterdam,Utrecht,1,1,5.07,EVER GIVEN,IMO5910137,SG,V108,821,HLCU,SWB,MSCU815626902,MSCU530803488,GESU5874184,20GP,DRY,GP,LCL,CY/CY,Expeditors,4761.99
Black pepper (whole),09041150,09041100,090411,9,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS1802,India,Netherlands,Netherlands,7,2024,7,2024-07,2024-07-09,20240720,20240720,import,1,9582182.28,206249.42,kg,KG,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],[in full dataset],Kolkata,,www.mcleodrussel.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],,15856.1,15856.1,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,19.82,ONE APUS,IMO1666259,MH,V801,578,HLCU,MBL,ONEY775235184,MSCU644275180,GESU5482496,40GP,OPEN TOP,RF,FCL,CFS/CFS,Sinotrans,181552.28
"Chilli/Capsicum, crushed/ground",09042221,09042200,090422,7,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS8144,India,Netherlands,Netherlands,6,2025,7,2025-07,2025-07-17,20250718,20250718,import,1,4053624.08,22264.03,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,6049,6049,Visakhapatnam,Amsterdam,Utrecht,1,1,7.56,CSCL GLOBE,IMO2406614,PA,V418,634,HMMU,HBL,ONEY368320581,HLCU984121551,TGHU2462877,40HC,DRY,RF,FCL,CY/CFS,Bollore Logistics,21100.2
Ginger (whole),09101130,09101100,091011,7,"Spices; ginger, neither crushed nor ground",MARKS4332,India,Netherlands,Netherlands,9,2024,12,2024-12,2024-12-11,20241222,20241222,import,1,4973909.49,5878.64,kg,KG,MALABAR SPICES COMPANY LIMITED,[in full dataset],[in full dataset],Ernakulam,,,,N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MALABAR SPICES COMPANY LIMITED,[in full dataset],,17744.6,17744.6,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,22.18,COSCO UNIVERSE,IMO5536770,LR,V143,971,YMLU,MBL,MAEU765872100,EGLV883954200,BMOU9482521,40HC,DRY,GP,FCL,CY/CFS,Sinotrans,5186.71
Coriander seeds,09092110,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS4385,India,Netherlands,Netherlands,6,2024,5,2024-05,2024-05-02,20240516,20240516,import,1,8128089.63,2176.12,kg,KG,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],,3478.6,3478.6,Chennai,Rotterdam,Steenwijk,1,1,4.35,CSCL GLOBE,IMO2486898,SG,V330,193,ONEY,MBL,ONEY722288574,MSCU271888552,FCIU8535565,20GP,DRY,GP,LCL,CY/CY,DB Schenker,1936.17
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS9729,India,Netherlands,Netherlands,9,2024,8,2024-08,2024-08-09,20240818,20240818,import,1,6613112.5,20411.29,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,2454.9,2454.9,Kolkata,Amsterdam,Utrecht,1,1,3.07,COSCO UNIVERSE,IMO2007023,LR,V502,214,OOLU,SWB,COSU689277197,MSCU107283953,FCIU3518445,40GP,FLAT RACK,HC,LCL,CY/CY,Sinotrans,19094.81
Turmeric,09103030,09103000,091030,7,Spices; turmeric (curcuma),MARKS8645,India,Netherlands,Netherlands,9,2024,8,2024-08,2024-08-21,20240806,20240806,import,1,6613112.5,4979.29,kg,KG,Cothas Coffee Company (Jp Nagar),[in full dataset],[in full dataset],Bengaluru,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Cothas Coffee Company (Jp Nagar),[in full dataset],,7800.9,7800.9,Kolkata,Amsterdam,Utrecht,1,1,9.75,MSC GULSUN,IMO4148674,MH,V612,354,CMDU,MBL,HLCU603138585,YMLU240300386,TCLU3570927,40HC,REEFER,GP,FCL,CY/CY,Expeditors,4732.46
"Ginger, crushed/ground",09101210,09101200,091012,9,"Spices; ginger, crushed or ground",MARKS7402,India,Netherlands,Netherlands,6,2024,5,2024-05,2024-05-27,20240514,20240514,import,1,8128089.63,1677.58,kg,KG,KOMARAS SPICES INDIA PRIVATE LIMITED,[in full dataset],[in full dataset],Nellore,,,,N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,KOMARAS SPICES INDIA PRIVATE LIMITED,[in full dataset],,15981.5,15981.5,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,19.98,COSCO UNIVERSE,IMO9279163,MH,V944,553,HLCU,HBL,MSCU128136317,EGLV195493339,GESU6754593,40HC,DRY,HC,FCL,CFS/CFS,DB Schenker,1528.32
Cumin seeds,09093111,09093100,090931,6,"Spices; cumin seeds, neither crushed nor ground",MARKS8541,India,Netherlands,Netherlands,7,2025,4,2025-04,2025-04-21,20250428,20250428,import,1,5330617.29,24563.41,kg,KG,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],[in full dataset],Mumbai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],,18075.8,18075.8,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,22.59,MOL TRIUMPH,IMO2978447,MH,V117,99,HLCU,SWB,EGLV402927873,CMDU330976550,FCIU4335194,20GP,REEFER,RF,FCL,CY/CY,Sinotrans,22885.06
"Chilli/Capsicum, crushed/ground",09042221,09042200,090422,9,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS5864,India,Netherlands,Netherlands,6,2025,3,2025-03,2025-03-19,20250317,20250317,import,1,4166176.36,32832.57,kg,KG,MALABAR SPICES COMPANY LIMITED,[in full dataset],[in full dataset],Ernakulam,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MALABAR SPICES COMPANY LIMITED,[in full dataset],,11592.5,11592.5,Chennai,Amsterdam,Utrecht,1,1,14.49,ONE APUS,IMO1941498,LR,V778,588,EGLV,HBL,ONEY405223749,COSU325521158,GESU7273144,40GP,REEFER,HC,FCL,CFS/CFS,DSV,29520.09
"Coriander, crushed/ground",09092200,09092200,090922,9,"Spices; coriander seeds, crushed or ground",MARKS5944,India,Netherlands,Netherlands,6,2025,6,2025-06,2025-06-02,20250616,20250616,import,1,11170668.99,2989.71,kg,KG,MUDREMANE COFFEE CURERS,[in full dataset],[in full dataset],Chikkamagaluru,,www.mudremane.com,[in full dataset],Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,MUDREMANE COFFEE CURERS,[in full dataset],,6937.9,6937.9,Kandla,Amsterdam,Steenwijk,1,1,8.67,CSCL GLOBE,IMO4019711,SG,V222,848,ZIMU,SWB,EGLV806999818,MAEU513763251,BMOU7940889,45HC,FLAT RACK,GP,LCL,CY/CY,Expeditors,2703.74
Black pepper (whole),09041140,09041100,090411,6,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS7741,India,Netherlands,Netherlands,6,2024,8,2024-08,2024-08-21,20240813,20240813,import,1,6613112.5,30886.28,kg,KG,SURUCHI SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Nagpur,,www.suruchispices.net,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SURUCHI SPICES PRIVATE LIMITED,[in full dataset],,19088.2,19088.2,Kolkata,Amsterdam,Utrecht,1,1,23.86,YM WARRANTY,IMO3681469,MH,V237,121,ZIMU,MBL,MSCU282657962,MAEU873957353,GESU8301341,45HC,TANK,HC,LCL,CY/CFS,DHL Global Forwarding,28734.83
Turmeric,09103030,09103000,091030,8,Spices; turmeric (curcuma),MARKS5259,India,Netherlands,Netherlands,7,2025,5,2025-05,2025-05-17,20250518,20250518,import,1,8489332.66,32970.2,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,23739.5,23739.5,Kolkata,Rotterdam,Utrecht,1,1,29.67,CMA CGM JULES VERNE,IMO5509855,LR,V536,519,APLU,MBL,HLCU743511949,ONEY737528911,GESU5042859,40HC,DRY,HC,FCL,CFS/CFS,Sinotrans,30280.59
"Chilli/Capsicum, crushed/ground",09042212,09042200,090422,6,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS8625,India,Netherlands,Netherlands,5,2024,10,2024-10,2024-10-03,20241009,20241009,import,1,5609457.12,4600.56,kg,KG,THREE MATE ENERGY PRIVATE LIMITED,[in full dataset],[in full dataset],Ahmedabad,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,THREE MATE ENERGY PRIVATE LIMITED,[in full dataset],,6564.9,6564.9,"Mundra, Gujarat",Rotterdam,Steenwijk,1,1,8.21,OOCL HONG KONG,IMO3180942,LR,V626,222,COSU,HBL,COSU598345206,ONEY591864522,FCIU5180520,45HC,FLAT RACK,RF,FCL,CFS/CFS,DHL Global Forwarding,4173.01
"Chilli/Capsicum, crushed/ground",09042212,09042200,090422,7,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS5389,India,Netherlands,Netherlands,6,2025,7,2025-07,2025-07-15,20250717,20250717,import,1,4053624.08,13397.86,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,19901.4,19901.4,Chennai,Amsterdam,Utrecht,1,1,24.88,BARZAN,IMO2274381,MH,V336,106,ONEY,SWB,ONEY124478493,YMLU949388124,TGHU9173979,20GP,TANK,HC,FCL,CFS/CFS,Bollore Logistics,12641.66
"Black pepper, crushed/ground",09041200,09041200,090412,7,"Spices; pepper (of the genus piper), crushed or ground",MARKS9822,India,Netherlands,Netherlands,5,2025,4,2025-04,2025-04-21,20250406,20250406,import,1,5330617.29,16799.04,kg,KG,SURUCHI SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Nagpur,,www.suruchispices.net,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SURUCHI SPICES PRIVATE LIMITED,[in full dataset],,8996.7,8996.7,Visakhapatnam,Amsterdam,Utrecht,1,1,11.25,ONE APUS,IMO1114347,PA,V436,132,ZIMU,MBL,EGLV613584969,EGLV253402798,FCIU5022162,40HC,REEFER,GP,LCL,CFS/CFS,DSV,15431.58
Coriander seeds,09092190,09092100,090921,6,"Spices; coriander seeds, neither crushed nor ground",MARKS1938,India,Netherlands,Netherlands,8,2024,10,2024-10,2024-10-05,20241013,20241013,import,1,5609457.12,1576.04,kg,KG,KESAR SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Mumbai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,KESAR SPICES PRIVATE LIMITED,[in full dataset],,1315.6,1315.6,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Utrecht,1,1,1.64,MSC OSCAR,IMO4676358,PA,V120,921,ZIMU,MBL,ONEY682907663,COSU740565276,MSCU1324531,20GP,TANK,HC,FCL,CY/CFS,Sinotrans,1377.34
Black pepper (whole),09041180,09041100,090411,5,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS6570,India,Netherlands,Netherlands,7,2024,5,2024-05,2024-05-21,20240520,20240520,import,1,8128089.63,14597.44,kg,KG,VIJAYAKRISHNA SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Hyderabad,,vijayakrishnaspices.com,[in full dataset],Y,Capriole Coffee-Service B.V.,[in full dataset],'s-Gravenhage,,www.capriole.nl,[in full dataset],Y,VIJAYAKRISHNA SPICES PRIVATE LIMITED,[in full dataset],,10251.8,10251.8,Visakhapatnam,Amsterdam,'s-Gravenhage,1,1,12.81,HMM ALGECIRAS,IMO2162264,PA,V511,136,APLU,SWB,YMLU577843437,COSU178046487,CAIU3249691,20GP,DRY,GP,FCL,CY/CFS,Expeditors,12765.85
"Coriander, crushed/ground",09092200,09092200,090922,8,"Spices; coriander seeds, crushed or ground",MARKS2222,India,Netherlands,Netherlands,6,2024,9,2024-09,2024-09-08,20240921,20240921,import,1,6665850.08,1357.44,kg,KG,BELAPURKAR SPICES AND DEHYDRATED PRODUCTS PRIVATE LIMITED,[in full dataset],[in full dataset],Ahilyanagar,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,BELAPURKAR SPICES AND DEHYDRATED PRODUCTS PRIVATE LIMITED,[in full dataset],,22769.8,22769.8,"Mundra, Gujarat",Rotterdam,Utrecht,1,1,28.46,MADRID MAERSK,IMO4177676,MH,V174,493,ZIMU,HBL,MAEU599483662,MAEU324497617,CAIU1702812,40HC,OPEN TOP,HC,LCL,CY/CFS,DSV,1265.38
Cumin seeds,09093119,09093100,090931,5,"Spices; cumin seeds, neither crushed nor ground",MARKS8780,India,Netherlands,Netherlands,8,2024,12,2024-12,2024-12-12,20241217,20241217,import,1,4973909.49,2070.42,kg,KG,ROYALBEAN FOODS & SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Ernakulam,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,ROYALBEAN FOODS & SPICES PRIVATE LIMITED,[in full dataset],,3912.7,3912.7,Kandla,Rotterdam,Utrecht,1,1,4.89,CMA CGM JULES VERNE,IMO5246202,LR,V916,660,COSU,HBL,CMDU966653634,MAEU613708839,GESU9155967,40GP,OPEN TOP,HC,FCL,CFS/CFS,Sinotrans,1884.52
